item_number,url,title,brand,advertised_price,autoship_price,weight,desc,Prescription
102183,https://www.chewy.com/greenies-feline-smartbites-healthy/dp/37491,Greenies Feline SmartBites Healthy Indoor Natural Tuna Flavor Soft & Crunchy Adult Cat Treats,Greenies,$5.48,$5.21,,"Keep your kitty purring all day long with Feline Greenies Smartbites Healthy Indoor Natural Treats for Cats. These tasty treats are specially formulated for indoor cats to aid in healthy digestion and support strong, lean muscles. Smartbites feature a mix of crunchy and creamy textures as well as high quality protein, vitamins, minerals and other nutrients for a nutritionally complete and balanced snack. Plus, these irresistible little bites come in a delectable tuna flavor your furbaby will adore. Try placing a few inside a treat dispenser toy (sold separately) and watch your cat chase and swat away! Smartbites are a low-calorie, lip-smacking treat for everyday fun.",Non-Rx
148074,https://www.chewy.com/friskies-shreds-in-gravy-variety-pack/dp/174906,Friskies Shreds Variety Pack Canned Cat Food,Friskies,$29.20,,15.75 pounds,"Your kitty loves savory, so satisfy his cravings with the Friskies Savory Shreds Variety Pack Canned Cat Food. This variety pack features whisker-licking recipes with real meat like beef, turkey, tuna, chicken and salmon, and is packed with everything your cat needs to fuel all those furry adventures - like protein, antioxidants and healthy omegas. The formula is also enhanced with vitamins, minerals and essential taurine for nose-to-tail well-being in every bite. Plus, it provides plenty of moisture to help keep your pal hydrated and support urinary health. So open up the easy pull tab and turn mealtime into yum time.",Non-Rx
69848,https://www.chewy.com/hills-prescription-diet-id-digestive/dp/54564,Hill's Prescription Diet i/d Digestive Care with Chicken Dry Cat Food,Hill's Prescription Diet,$63.99,$60.79,8.5 pounds,"Dietary indiscretion, food allergies, or lack of digestive enzymes can affect your cat's digestive health. Efficient digestion is essential for your cat to be able to build and repair tissues and obtain energy, and for these reasons, it is important to feed a food that is formulated to help support digestive health. Hill's nutritionists & veterinarians developed Prescription Diet i/d clinical nutrition especially formulated to support your cat's digestive health. In fact, i/d is clinically proven nutrition that helps improve digestion and stool quality. Plus, with the S+OXSHIELD seal of confidence, the Digestive Care formula meets specific nutrient standards shown to promote a urinary environment that helps reduce the risk of struvite and calcium oxalate crystals.",Non-Rx
98969,https://www.chewy.com/natural-balance-lid-limited/dp/126520,Natural Balance Limited Ingredient Reserve Grain-Free Green Pea & Venison Dry Cat Food,Natural Balance,$42.98,$40.83,8 pounds,"Give your cat a tasty reason to purr with the Natural Balance L.I.D. Limited Ingredient Diets Green Pea & Venison Grain-Free Dry Cat Food. Made especially for kitties with sensitivities, this recipe contains just a few ingredients that will keep him thriving, including a single animal protein source—savory venison—as one of the top ingredients to support all those furry adventures. Every crunchy bite is loaded with vitamins, minerals, essential taurine, and omegas to support nose-to-tail well-being and a lustrous coat—not to mention the irresistible flavor that’ll have him running to his bowl every time. Plus, it has zero grains or anything artificial. Because sensitive or not, he’s a carnivore at heart.",Non-Rx
82584,https://www.chewy.com/hills-prescription-diet-kd-kidney/dp/110399,"Hill's Prescription Diet k/d Kidney Care Chicken & Vegetable Stew Wet Cat Food, 2.9-oz, case of 24",Hill's Prescription Diet,$56.99,$54.14,4.35 pounds,"Hill's Prescription Diet k/d Wet Cat Food with ActivBiome+ Kidney Defense is specially formulated by nutritionists and veterinarians to help manage chronic kidney disease, or CKD. A proprietary blend of prebiotics activates the gut microbiome to help reduce harmful waste products within the intestinal and slow down the progression of the disease. In addition, high levels of essential amino acids and L-carnitine support your cat's natural ability to build muscle mass. Made to please even the pickiest of eaters, this canned food has tasty, bite-sized chunks in gravy and is made with wholesome ingredients like real chicken and vegetables that cats love.",Non-Rx
64103,https://www.chewy.com/smartcat-kittys-garden/dp/49066,SmartCat Kitty's Garden,SmartCat,$14.99,$14.24,,"Pet Parent Rule Number 1: No leaving the dinner bowl until you've finished your greens. The SmartCat Kitty's Garden ensures your faithful feline gets plenty of the greens he needs to improve digestion, limit hairballs, and get his fill of essential vitamins and nutrients. The decorative wood box is filled with oats, rye, wheat, and barley that takes less than a week to grow.",Non-Rx
846406,https://www.chewy.com/vital-essentials-rabbit-entree-cat/dp/846398,"Vital Essentials Rabbit Entree Cat Food Mini Patties Grain-Free Freeze-Dried Raw Cat Food, 3.75-oz bag",Vital Essentials,$13.99,$13.29,3.75 ounces,"Power up the protein with Vital Essentials Rabbit Entree Cat Food Mini Patties Grain-Free Freeze-Dried Raw Cat Food! It’s made in the USA from farm-raised, premium butcher-cut rabbit. Packing more protein into every bite along with natural vitamins and minerals, it helps build strong muscle, supports digestive and oral health, maintains healthy skin and a shiny coat, while essential nutrients assist energy and vitality. Created without gluten, additives, fillers, dyes, flavorings, artificial preservatives, legumes, grains or rendered by-products, it's paw-fect for your pet with allergies and even your picky kitty will love it. Serve this healthy, nutritious meal on its own or mixed into food for a raw-food diet as nature intended.",Non-Rx
156395,https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/108312,Hill's Prescription Diet c/d Multicare Stress Urinary Care with Chicken Dry Cat Food,Hill's Prescription Diet,$67.99,$64.59,8.5 pounds,"A healthy bladder starts with the right balance of vital nutrients. Excess minerals can encourage the formation of crystals in the urine, which may lead to the creation of bladder stones. They can cause discomfort and lead to more serious problems that require the care of a veterinarian. Stress in the home has been shown to negatively impact bladder health as well. Hill's nutritionists and veterinarians developed Prescription Diet c/d Multicare Feline Stress clinical nutrition specially formulated to support your cat's urinary health, while also managing stress. In fact, c/d Multicare is clinically tested nutrition to lower the recurrence of most common urinary signs by 89%. Plus, with the S+OXSHIELD seal of confidence, the Urinary Care formula meets specific nutrient standards shown to promote a urinary environment that helps reduce the risk of struvite and calcium oxalate crystals.",Non-Rx
70412,https://www.chewy.com/petrageous-designs-bone-n-up-dinner/dp/55297,"PetRageous Designs Bone n' Up for Dinner Non-Slip Tray Placemat, Black",PetRageous Designs,$12.68,,,"Keep your little piggy's messes contained with the PetRageous Designs Bone n' Up for Dinner Non-Slip Tray Placemat! This pet placemat is designed to help keep kibble, wet food, water and slobber off of your floors. The raised edges and skid-proof design prevent even the most excited eaters from making a big mess. Plus, it's an easy way to hold your pal's bowls in place—no more chasing dishes across the room!",Non-Rx
89926,https://www.chewy.com/purina-beyond-white-meat-chicken-egg/dp/117626,Purina Beyond White Meat Chicken & Egg Recipe Grain-Free Natural Dry Cat Food,Purina Beyond,$17.48,$16.61,5 pounds,"Show your love for your kitty and feed her as nature intended with Purina Beyond Simply Grain Free White Meat Chicken & Egg Recipe Dry Cat Food. Purina's pet nutritionists design this high-protein cat food recipe with ingredients from Beyond’s trusted sources. White meat chicken raised without steroids is the first ingredient, and the natural cat food recipe is packed with added vitamins, minerals and nutrients for the complete and balanced nutrition your adult cat needs to thrive. Even better, this limited-ingredient cat food is produced in Purina-owned, U.S. facilities where Beyond takes positive steps to make food good for your pet and good for the planet, like improving water use efficiency and reducing waste. Make your purr-y pal's meals extra special and mix and match this grain-free cat food kibble with Beyond wet food and complements to add an extra punch of flavor and protein in her dish!",Non-Rx
