item_number,url,title,brand,advertised_price,autoship_price,weight,desc,Prescription
,https://www.chewy.com/chewy-egift-card/dp/226304,Chewy eGift Card,,,,,,Non-Rx
259001,https://www.chewy.com/goody-box-birthday-dog-toys-treats/dp/285455,"Goody Box Birthday Dog Toys & Treats, Medium/Large",Goody Box,$27.99,,,"It only makes sense that birthdays are celebrated in the biggest way possible, and what’s better for your pooch than this BDay Goody Box, by Chewy? Treats, toys, hats! Yes, even a snazzy hat that they can show off in their cute bday pics. This Goody Box has it all! Go ahead and dress ‘em up, break out the treats and get in all the playtime they can handle. Showering your dog with affection on their special day, plus saving some coins in the process is definitely a win-win. They’ll be up to their whiskers in cool, new stuff (but most importantly, love) with this new BDay Goody Box, by Chewy!",Non-Rx
574142,https://www.chewy.com/vibeful-wild-alaskan-salmon-oil/dp/574142,Vibeful Wild Alaskan Salmon Oil Formula Liquid Skin & Coat Supplement for Dogs,Vibeful,$26.99,$25.64,,"If your pet loved American Journey Salmon Oil, they’ll love Vibeful Salmon Oil—with the same great taste and healthy omegas. Lights, omegas, action! This one is for the celebrities in training who are always ready for their closeup, because they make looking good look easy. And now we made it tasty! Sourced from wild Alaskan cold-water fish, Vibeful’s Wild Alaskan Salmon Oil Formula brings on the omegas with the whisker-licking taste your main character craves. EPA and DHA have made a name for themselves as the real supporting cast when it comes to skin and coat health, so your bestie can get that healthy glow that just may land them their very own reality TV show. Plus, this formula also helps maintain brain and vision health to really roll out the red carpet when it comes to daily wellness. Did we mention it’s made with delicious, wild Alaskan salmon and pollock oil so your bestie will be all over these omegas? You can give it on its own or easily mix it into their dinner, if you want to get fancy (celebrity treatment, amirite?).",Non-Rx
580974,https://www.chewy.com/frisco-senior-kitten-cat-litter-box/dp/580974,"Frisco Senior and Kitten Cat Litter Box, 24-in",Frisco,$33.96,,,"For the mobility-challenged cats whose years of daredevil acrobatics are either behind them or a ways down the road, this easily accessible, step-in litter box from Frisco by Chewy doesn’t require its user to leap over a wall just to get inside. Its plastic construction is lightweight and a cinch to clean. All you need is soap and warm water.",Non-Rx
108423,https://www.chewy.com/american-journey-salmon-sweet-potato/dp/135821,American Journey Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food,American Journey,$60.48,$57.46,23.99 pounds,"American Journey Grain-Free recipes are crafted to fuel your dog’s day and satisfy their primal appetite for protein. When it comes to your dog’s food, there’s no need to overcomplicate what nature made simple—start with delicious salmon, and add in nutrient-dense fruits and vegetables, plus vitamins and minerals. And there are no unnecessary extras like wheat, corn, soy, or poultry by-product meals. Serve up a bowl of nutrition that’s made for more moments together, wherever your journey takes you.",Non-Rx
262166,https://www.chewy.com/frisco-bumble-guinea-pig-costume-one/dp/288607,"Frisco Bumble Guinea Pig Costume, One Size, Multi Color",Frisco,$18.64,,,"When Halloween comes, pets of all sizes are abuzz with the spooky season spirit! This tiny costume is perfectly sized to get your guinea pig in on the fun. It comes with an adorable bumble bee body piece made with soft material and accented with cute, iridescent wings on the back. It’s easy to put on with hook-and-loop fasteners, and the separate bee headpiece even has fuzzy antennae, just like the bees in your back yard. Halloween isn’t just for humans, cats and dogs. Small pets can get in on the Halloween parties and adorable photo ops too!",Non-Rx
346083,https://www.chewy.com/frisco-travel-safety-dog-cat-carrier/dp/372318,Frisco Travel Safety Dog & Cat Carrier,Frisco,$56.99,,3.74 pounds,"Honk that horn, check those mirrors and let that tongue flap in the wind, because it’s time for a road trip! Riding with comfort and safety takes a backseat to nothing unless it’s this travel car seat carrier from Frisco by Chewy! In just three simple steps, your dog will be ready to travel everywhere with the fam. Simply loop the straps around the headrest, push the anchors through the seat gaps and pass the seat belt through the seat belt path. Done and done. Oh, and it’s also got mesh sides so that your canine companion can take in the awesome scenery that zooms by. When the trip is over, the carrier can fold flat for easy storage until it’s time to hit the road again.",Non-Rx
161807,https://www.chewy.com/frisco-colorful-springs-cat-toy-10/dp/188522,Frisco Colorful Springs Cat Toy,Frisco,$5.70,,0.96 ounces,"Spring into playtime with a classic kitty playtime favorite! Some cats are all about the simple things, like a colorful, bouncy spring to chase and bat around the house. These springs have an erratic bounce to turn up the playtime excitement and come in vibrant colors to keep cats engaged in play. They’re perfect to give your kitty the daily mental stimulation and exercise they need, without a whole lot of fuss. Just break them out and let the games begin!",Non-Rx
108757,https://www.chewy.com/tylees-chicken-jerky-dog-treats-8-oz/dp/136147,"Tylee's Chicken Jerky Dog Treats, 8-oz bag",Tylee's,$18.50,$17.58,8.00 ounces,"Tylee’s Chicken Jerky Dog Treats are made with 100% chicken breast—the same quality meat that you would eat. When it comes to dog treat recipes, Tylee’s knows that less is really more. The only ingredient you’ll find listed is pure meat that’s been thinly sliced and dehydrated to create a jerky that’s chewy and irresistible. This delicious snack delivers 76% protein and all the flavor your dog craves. To keep every bite as fresh as the first, Tylee’s lets nature do its work by using a drying process instead of adding chemical preservatives. The result is a portable protein treat that you can take anywhere for spontaneous on-the-go rewards. Break them into bite-size pieces for tinier pups, or to just stretch out treat time.",Non-Rx
133935,https://www.chewy.com/american-journey-minced-salmon-tuna/dp/160945,American Journey Minced Salmon & Tuna Recipe in Gravy Grain-Free Canned Cat Food,American Journey,$28.49,$27.07,4.5 pounds,"American Journey Minced Salmon & Tuna Recipe in Gravy Grain-Free Canned Cat Food starts with the real salmon that cats instinctively crave, covered in a delicious, savory gravy. This grain-free formula combines premium salmon and tuna for the seafood flavor your kitty loves and the nourishing nutrients she needs to thrive. These high-quality animal proteins help support lean muscles, and they deliver essential amino acids. Taurine is also added for healthy eyes and a healthy heart. You’ll find everything your kitty needs to keep her going on her daily adventures in this hearty meal. That includes wholesome ingredients like cranberries and blueberries, natural omega-3 and 6 fatty acids for skin and coat health, and added vitamins and minerals. American Journey leaves out corn, wheat, soy, poultry by-product meal and artificial colors, flavors and preservatives so you can be sure your cat is getting the nutrition she deserves.",Non-Rx
112076,https://www.chewy.com/frisco-steel-framed-elevated-dog-bed/dp/139415,Frisco Steel-Framed Elevated Dog Bed,Frisco,$36.42,,8.02 pounds,"Give your dog the best rest they deserve after a long walk, a day of play, or just quality time with the family with this steel-framed elevated dog bed, from Frisco by Chewy! It features a sturdy, powder-coated steel frame and a durable, PVC-coated fabric sleeping surface that’s made to last. The tight, breathable fabric provides an added level of comfort and support that also keeps your dog cool and won't sag after extended use. The skid-resistant feet provide extra stability during movement, making this ultra-comfortable bed ideal for use on various surfaces, indoors or outside. It’s easy to assemble and just as easy to clean, with surfaces that don’t cling to dirt and grime.",Non-Rx
